date,gap,rstar
2005-01-01,1.8922,2.2187
2005-04-01,2.0069,2.2316
2005-07-01,1.7244,2.0802
2005-10-01,1.8439,2.0842
2006-01-01,1.8395,2.2553
2006-04-01,2.0249,2.3926
2006-07-01,1.448,2.2603
2006-10-01,1.0556,2.1408
2007-01-01,1.0239,2.244
2007-04-01,0.0436,1.9897
2007-07-01,0.0177,2.1418
2007-10-01,0.016950228,2.14399695
2008-01-01,-0.4665671,1.985434989
2008-04-01,-1.0076765,1.777750957
2008-07-01,-0.89667103,1.738356249
2008-10-01,-1.897448559,1.059803882
2009-01-01,-1.908658329,1.140201245
2009-04-01,-2.294237044,1.09459512
2009-07-01,-2.607472864,1.002097703
2009-10-01,-2.067825421,1.246190056
2010-01-01,-2.147682508,0.840181661
2010-04-01,-1.810517588,0.731375733
2010-07-01,-1.697418196,0.512726752
2010-10-01,-1.783985814,0.265299652
2011-01-01,-1.328735038,0.234939415
2011-04-01,-1.359200866,0.113938212
2011-07-01,-1.007102208,0.222124156
2011-10-01,-1.014271668,0.086135922
2012-01-01,-0.419851047,0.265645755
2012-04-01,-0.332526578,0.044516381
2012-07-01,-0.422162956,-0.103294422
2012-10-01,-0.483593409,-0.374656117
2013-01-01,-0.391965013,-0.340768517
2013-04-01,-0.447169436,-0.4018052
2013-07-01,0.011719265,-0.130604479
2013-10-01,0.178666997,-0.17750457
2014-01-01,0.24797848,-0.354826786
2014-04-01,0.615869993,-0.072911358
2014-07-01,0.706591764,-0.072940097
2014-10-01,0.782104019,-0.165267989
2015-01-01,0.649250399,-0.388564985
2015-04-01,1.064290678,0.006320326
2015-07-01,1.037496049,-0.092076082
2015-10-01,1.063494202,-0.096787191
2016-01-01,1.42470909,0.186546761
2016-04-01,1.360044586,0.182334214
2016-07-01,1.330721403,0.216005645
2016-10-01,1.084607632,0.026734381
2017-01-01,1.094295941,0.055627762
2017-04-01,0.704946267,-0.215630209
2017-07-01,0.869947828,-0.086285435
2017-10-01,1.05518737,0.049403791
2018-01-01,1.150014809,0.136724706
2018-04-01,2.409958985,0.865271834
2018-07-01,2.284720719,0.8211043
2018-10-01,2.211256637,0.811193695
2019-01-01,1.810031362,0.649339343
2019-04-01,1.963258936,0.827480334
2019-07-01,1.96363972,0.939022952
2019-10-01,1.560400342,0.802037084
2020-01-01,-0.260271641,0.840263348
2020-04-01,-12.16923259,0.360822885
2020-07-01,5.002429657,1.163871434
2020-10-01,,
2021-01-01,,
2021-04-01,,
2021-07-01,,
2021-10-01,,
2022-01-01,,
2022-04-01,,
2022-07-01,,
2022-10-01,5.026332621,1.139923996
2023-01-01,4.442669518,1.137947709
2023-04-01,2.948400144,1.187966289
2023-07-01,2.151457415,1.119557565
2023-10-01,2.251174378,1.179717581
2024-01-01,1.287688889,1.21598335
2024-04-01,1.305091204,1.257949334
2024-07-01,1.091702887,1.309261097
2024-10-01,1.30266512,1.370289017
2025-01-01,0.553730714,1.373000533
2025-04-01,0.663900876,1.562682974
