date,gap,rstar
1985-01-01,-2.3546,2.8945
1985-04-01,-2.2480,2.8758
1985-07-01,-1.8989,2.8506
1985-10-01,-1.7970,2.8287
1986-01-01,-1.7485,2.8063
1986-04-01,-1.8667,2.7880
1986-07-01,-1.8370,2.7681
1986-10-01,-1.9017,2.7520
1987-01-01,-1.8579,2.7365
1987-04-01,-1.6599,2.7183
1987-07-01,-1.4508,2.6995
1987-10-01,-1.0053,2.6717
1988-01-01,-0.9210,2.6489
1988-04-01,-0.6630,2.6206
1988-07-01,-0.5804,2.5951
1988-10-01,-0.2791,2.5626
1989-01-01,-0.0927,2.5273
1989-04-01,-0.0681,2.4904
1989-07-01,-0.1552,2.4509
1989-10-01,-0.4353,2.4133
1990-01-01,-0.4800,2.3679
1990-04-01,-0.7803,2.3263
1990-07-01,-1.3215,2.2923
1990-10-01,-2.2426,2.2754
1991-01-01,-2.9550,2.2670
1991-04-01,-3.1063,2.2554
1991-07-01,-3.1965,2.2478
1991-10-01,-3.2423,2.2458
1992-01-01,-2.9328,2.2404
1992-04-01,-2.5707,2.2360
1992-07-01,-2.2409,2.2343
1992-10-01,-1.9911,2.2357
1993-01-01,-2.0835,2.2494
1993-04-01,-2.0946,2.2685
1993-07-01,-2.0467,2.2936
1993-10-01,-1.6644,2.3151
1994-01-01,-1.3462,2.3389
1994-04-01,-0.9854,2.3604
1994-07-01,-0.9175,2.3873
1994-10-01,-0.8022,2.4120
1995-01-01,-1.0221,2.4429
1995-04-01,-1.3286,2.4774
1995-07-01,-1.4582,2.5088
1995-10-01,-1.5892,2.5397
1996-01-01,-1.6115,2.5686
1996-04-01,-1.3090,2.5866
1996-07-01,-1.2259,2.6045
1996-10-01,-1.1660,2.6194
1997-01-01,-1.1719,2.6346
1997-04-01,-0.8306,2.6384
1997-07-01,-0.6004,2.6380
1997-10-01,-0.5555,2.6365
1998-01-01,-0.5044,2.6305
1998-04-01,-0.4442,2.6204
1998-07-01,-0.2284,2.6017
1998-10-01,0.1056,2.5722
1999-01-01,0.2190,2.5404
1999-04-01,0.3082,2.5055
1999-07-01,0.6150,2.4615
1999-10-01,1.0023,2.4070
2000-01-01,1.0017,2.3550
2000-04-01,1.3439,2.2888
2000-07-01,1.0926,2.2288
2000-10-01,0.8071,2.1668
2001-01-01,0.2081,2.1123
2001-04-01,-0.1380,2.0546
2001-07-01,-0.7061,2.0076
2001-10-01,-0.9731,1.9624
2002-01-01,-0.9274,1.9157
2002-04-01,-0.8977,1.8729
2002-07-01,-0.9673,1.8365
2002-10-01,-1.1199,1.8084
2003-01-01,-1.0662,1.7829
2003-04-01,-0.7421,1.7561
2003-07-01,-0.1114,1.7210
2003-10-01,0.3300,1.6854
2004-01-01,0.5043,1.6545
2004-04-01,0.7170,1.6237
2004-07-01,1.0284,1.5911
2004-10-01,1.3812,1.5555
2005-01-01,1.8922,2.2187
2005-04-01,2.0069,2.2316
2005-07-01,1.7244,2.0802
2005-10-01,1.8439,2.0842
2006-01-01,1.8395,2.2553
2006-04-01,2.0249,2.3926
2006-07-01,1.448,2.2603
2006-10-01,1.0556,2.1408
2007-01-01,1.0239,2.244
2007-04-01,0.0436,1.9897
2007-07-01,0.0177,2.1418
2007-10-01,0.016950228,2.14399695
2008-01-01,-0.4665671,1.985434989
2008-04-01,-1.0076765,1.777750957
2008-07-01,-0.89667103,1.738356249
2008-10-01,-1.897448559,1.059803882
2009-01-01,-1.908658329,1.140201245
2009-04-01,-2.294237044,1.09459512
2009-07-01,-2.607472864,1.002097703
2009-10-01,-2.067825421,1.246190056
2010-01-01,-2.147682508,0.840181661
2010-04-01,-1.810517588,0.731375733
2010-07-01,-1.697418196,0.512726752
2010-10-01,-1.783985814,0.265299652
2011-01-01,-1.328735038,0.234939415
2011-04-01,-1.359200866,0.113938212
2011-07-01,-1.007102208,0.222124156
2011-10-01,-1.014271668,0.086135922
2012-01-01,-0.419851047,0.265645755
2012-04-01,-0.332526578,0.044516381
2012-07-01,-0.422162956,-0.103294422
2012-10-01,-0.483593409,-0.374656117
2013-01-01,-0.391965013,-0.340768517
2013-04-01,-0.447169436,-0.4018052
2013-07-01,0.011719265,-0.130604479
2013-10-01,0.178666997,-0.17750457
