date,eff,shadow
1990-01-01,8.26,7.95
1990-02-01,8.29,7.80
1990-03-01,8.30,7.95
1990-04-01,8.23,8.14
1990-05-01,8.23,7.77
1990-06-01,8.32,7.67
1990-07-01,8.05,7.53
1990-08-01,8.06,7.55
1990-09-01,8.03,7.51
1990-10-01,9.52,7.34
1990-11-01,7.61,7.19
1990-12-01,5.53,6.76
1991-01-01,8.18,6.39
1991-02-01,6.99,6.10
1991-03-01,5.53,5.76
1991-04-01,5.98,5.56
1991-05-01,5.92,5.54
1991-06-01,6.74,5.53
1991-07-01,5.85,5.45
1991-08-01,5.50,5.21
1991-09-01,5.60,5.02
1991-10-01,5.23,4.80
1991-11-01,4.86,4.41
1991-12-01,4.09,3.75
1992-01-01,4.40,3.60
1992-02-01,4.13,3.53
1992-03-01,4.07,3.53
1992-04-01,3.85,3.27
1992-05-01,3.80,3.29
1992-06-01,4.53,3.42
1992-07-01,3.37,3.10
1992-08-01,3.51,3.08
1992-09-01,4.47,2.85
1992-10-01,3.04,2.95
1992-11-01,3.45,2.98
1992-12-01,2.66,2.76
1993-01-01,3.02,2.82
1993-02-01,3.18,2.87
1993-03-01,3.83,2.93
1993-04-01,3.01,2.91
1993-05-01,3.02,3.10
1993-06-01,3.92,3.14
1993-07-01,3.07,3.08
1993-08-01,3.19,3.09
1993-09-01,3.99,3.04
1993-10-01,3.03,3.11
1993-11-01,3.16,3.13
1993-12-01,2.85,3.13
1994-01-01,3.68,3.05
1994-02-01,3.49,3.43
1994-03-01,4.18,3.69
1994-04-01,3.73,4.07
1994-05-01,4.60,4.43
1994-06-01,5.96,4.68
1994-07-01,4.29,4.70
1994-08-01,4.70,4.74
1994-09-01,5.44,5.08
1994-10-01,4.90,5.27
1994-11-01,5.66,5.97
1994-12-01,4.94,7.12
1995-01-01,5.86,6.32
1995-02-01,6.10,5.99
1995-03-01,6.30,6.00
1995-04-01,6.06,5.93
1995-05-01,6.17,5.79
1995-06-01,6.11,5.68
1995-07-01,5.97,5.54
1995-08-01,5.93,5.49
1995-09-01,6.20,5.54
1995-10-01,5.97,5.49
1995-11-01,6.11,5.42
1995-12-01,4.73,5.33
1996-01-01,5.71,5.03
1996-02-01,6.05,5.05
1996-03-01,5.25,5.15
1996-04-01,5.50,5.19
1996-05-01,5.31,5.15
1996-06-01,5.00,5.26
1996-07-01,6.75,5.39
1996-08-01,5.28,5.28
1996-09-01,6.09,5.29
1996-10-01,5.63,5.21
1996-11-01,5.44,5.20
1996-12-01,6.26,5.22
1997-01-01,5.37,5.23
1997-02-01,5.50,5.27
1997-03-01,7.07,5.49
1997-04-01,5.82,5.46
1997-05-01,5.58,5.35
1997-06-01,6.87,5.32
1997-07-01,5.96,5.35
1997-08-01,5.52,5.40
1997-09-01,5.81,5.53
1997-10-01,5.56,5.38
1997-11-01,5.50,5.46
1997-12-01,5.84,5.42
1998-01-01,5.48,5.36
1998-02-01,5.57,5.41
1998-03-01,5.88,5.37
1998-04-01,5.59,5.33
1998-05-01,5.63,5.41
1998-06-01,7.06,5.29
1998-07-01,5.63,5.23
1998-08-01,5.89,5.13
1998-09-01,6.14,4.85
1998-10-01,5.35,4.73
1998-11-01,5.11,4.74
1998-12-01,4.07,4.69
1999-01-01,4.79,4.76
1999-02-01,4.84,4.85
1999-03-01,4.98,4.73
1999-04-01,5.03,4.74
1999-05-01,4.61,4.74
1999-06-01,5.12,4.93
1999-07-01,5.07,4.93
1999-08-01,5.57,5.19
1999-09-01,5.51,5.17
1999-10-01,5.27,5.31
1999-11-01,5.63,5.59
1999-12-01,3.99,5.83
2000-01-01,5.87,5.85
2000-02-01,5.85,5.85
2000-03-01,6.17,6.06
2000-04-01,6.06,6.16
2000-05-01,6.83,6.62
2000-06-01,6.86,6.46
2000-07-01,6.64,6.41
2000-08-01,6.65,6.39
2000-09-01,6.60,6.52
2000-10-01,6.59,6.65
2000-11-01,6.62,6.44
2000-12-01,5.41,5.99
2001-01-01,5.74,5.04
2001-02-01,5.59,4.76
2001-03-01,5.29,4.30
2001-04-01,4.67,3.83
2001-05-01,4.24,3.23
2001-06-01,3.95,3.27
2001-07-01,3.82,3.05
2001-08-01,3.66,2.83
2001-09-01,2.75,2.17
2001-10-01,2.66,1.57
2001-11-01,2.06,1.13
2001-12-01,1.52,0.67
2002-01-01,1.85,0.95
2002-02-01,1.83,0.97
2002-03-01,1.74,1.40
2002-04-01,1.82,0.93
2002-05-01,1.79,1.12
2002-06-01,1.73,1.02
2002-07-01,1.76,1.15
2002-08-01,1.81,1.43
2002-09-01,1.85,1.59
2002-10-01,1.82,1.44
2002-11-01,1.23,1.14
2002-12-01,1.16,1.12
2003-01-01,1.33,1.02
2003-02-01,1.33,1.16
2003-03-01,1.38,1.06
2003-04-01,1.31,1.01
2003-05-01,1.28,1.28
2003-06-01,1.45,1.10
2003-07-01,1.04,0.94
2003-08-01,1.01,0.74
2003-09-01,1.17,0.86
2003-10-01,1.03,0.83
2003-11-01,1.01,0.87
2003-12-01,0.94,0.74
2004-01-01,1.03,0.75
2004-02-01,1.04,0.75
2004-03-01,1.05,0.91
2004-04-01,1.03,0.87
2004-05-01,1.02,1.07
2004-06-01,1.38,1.32
2004-07-01,1.29,1.44
2004-08-01,1.55,1.63
2004-09-01,1.94,1.93
2004-10-01,1.79,2.08
2004-11-01,2.02,2.35
2004-12-01,1.97,2.53
2005-01-01,2.50,2.68
2005-02-01,2.52,2.84
2005-03-01,2.96,2.96
2005-04-01,2.97,3.08
2005-05-01,3.09,3.15
2005-06-01,3.35,3.32
2005-07-01,3.31,3.58
2005-08-01,3.63,3.63
2005-09-01,3.93,4.14
2005-10-01,4.02,4.20
2005-11-01,4.03,4.33
2005-12-01,4.09,4.36
2006-01-01,4.47,4.53
2006-02-01,4.52,4.60
2006-03-01,5.00,4.77
2006-04-01,4.86,4.91
2006-05-01,5.05,5.07
2006-06-01,5.05,5.26
2006-07-01,5.31,5.23
2006-08-01,5.31,5.20
2006-09-01,5.34,5.15
2006-10-01,5.31,5.15
2006-11-01,5.31,5.13
2006-12-01,5.17,5.17
2007-01-01,5.33,5.14
2007-02-01,5.41,5.13
2007-03-01,5.30,5.18
2007-04-01,5.29,5.22
2007-05-01,5.28,5.10
2007-06-01,5.31,5.01
2007-07-01,5.28,5.02
2007-08-01,4.96,4.64
2007-09-01,4.58,4.29
2007-10-01,4.60,4.29
2007-11-01,4.66,3.69
2007-12-01,3.06,3.70
2008-01-01,3.22,2.66
2008-02-01,3.01,2.14
2008-03-01,2.51,1.87
2008-04-01,2.37,1.81
2008-05-01,1.98,1.96
2008-06-01,2.47,2.05
2008-07-01,2.09,2.05
2008-08-01,1.94,2.13
2008-09-01,2.03,1.91
2008-10-01,0.22,1.84
2008-11-01,0.52,1.42
2008-12-01,0.14,0.65
2009-01-01,0.23,0.61
2009-02-01,0.22,0.88
2009-03-01,0.16,0.75
2009-04-01,0.20,0.43
2009-05-01,0.19,0.21
2009-06-01,0.22,0.02
2009-07-01,0.18,-0.12
2009-08-01,0.15,-0.28
2009-09-01,0.07,-0.41
2009-10-01,0.11,-0.47
2009-11-01,0.13,-0.61
2009-12-01,0.05,-0.15
2010-01-01,0.12,-0.45
2010-02-01,0.13,-0.54
2010-03-01,0.09,-0.48
2010-04-01,0.20,-0.47
2010-05-01,0.19,-0.48
2010-06-01,0.09,-0.54
2010-07-01,0.18,-0.59
2010-08-01,0.21,-0.70
2010-09-01,0.15,-0.80
2010-10-01,0.20,-1.00
2010-11-01,0.20,-0.96
2010-12-01,0.13,-0.88
2011-01-01,0.17,-1.01
2011-02-01,0.16,-1.09
2011-03-01,0.10,-0.99
2011-04-01,0.09,-1.07
2011-05-01,0.10,-1.14
2011-06-01,0.07,-1.12
2011-07-01,0.11,-1.19
2011-08-01,0.08,-1.38
2011-09-01,0.06,-1.40
2011-10-01,0.09,-1.44
2011-11-01,0.10,-1.48
2011-12-01,0.04,-1.47
2012-01-01,0.11,-1.54
2012-02-01,0.10,-1.45
2012-03-01,0.09,-1.27
2012-04-01,0.16,-1.26
2012-05-01,0.16,-1.24
2012-06-01,0.09,-1.11
2012-07-01,0.13,-1.18
2012-08-01,0.13,-1.26
2012-09-01,0.09,-1.36
2012-10-01,0.18,-1.34
2012-11-01,0.16,-1.42
2012-12-01,0.09,-1.43
2013-01-01,0.15,-1.36
2013-02-01,0.14,-1.42
2013-03-01,0.09,-1.44
2013-04-01,0.14,-1.52
2013-05-01,0.09,-1.27
2013-06-01,0.07,-0.97
2013-07-01,0.09,-1.52
2013-08-01,0.07,-1.67
2013-09-01,0.06,-1.80
2013-10-01,0.07,-1.85
2013-11-01,0.07,-2.00
2013-12-01,0.07,-2.13
2014-01-01,0.07,-2.38
2014-02-01,0.06,-2.54
2014-03-01,0.06,-2.62
2014-04-01,0.09,-2.89
2014-05-01,0.08,-2.99
2014-06-01,0.09,-2.89
2014-07-01,0.08,-2.84
2014-08-01,0.07,-2.89
2014-09-01,0.07,-2.81
2014-10-01,0.07,-2.80
2014-11-01,0.08,-2.77
2014-12-01,0.06,-2.42
2015-01-01,0.06,-2.27
2015-02-01,0.06,-1.97
2015-03-01,0.06,-1.81
2015-04-01,0.08,-1.59
2015-05-01,0.08,-1.43
2015-06-01,0.08,-1.40
2015-07-01,0.08,-1.29
2015-08-01,0.08,-0.92
2015-09-01,0.07,-0.74
2015-10-01,0.07,-0.53
2015-11-01,0.08,0.00
2015-12-01,0.20,0.26
2016-01-01,0.29,0.40
2016-02-01,0.29,0.53
2016-03-01,0.25,0.51
2016-04-01,0.30,0.41
2016-05-01,0.29,0.48
2016-06-01,0.30,0.42
2016-07-01,0.30,0.47
2016-08-01,0.30,0.45
2016-09-01,0.29,0.51
2016-10-01,0.31,0.52
2016-11-01,0.31,0.43
2016-12-01,0.55,0.42
2017-01-01,0.56,0.38
2017-02-01,0.57,0.39
2017-03-01,0.82,0.64
2017-04-01,0.83,0.85
